name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college
erwin mueller,2792.0,Erwin Mueller,PF,24.0,CHI,52.0,23.593374650359237,872.0,9.3,0.372,0.15860433144009717,0.402,6.181565025009618,13.708657175836867,18.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-1.1,1.4,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.511,62.18920998220897,124.0,39.89705245948935,24.470260133673126,73.93983201832528,Erwin Mueller,203.0,104.0,University of San Francisco,Unknown,Unknown,Erwin Mueller,C-F,6-8,"March 12, 1944",University of San Francisco
clyde mayes,4855.0,Clyde Mayes,PF,23.0,POR,5.0,23.593374650359237,24.0,3.5,0.222,0.15860433144009717,0.0,26.2,0.0,0.0,0.0,4.4,15.085098559901962,18.906491853360468,-0.1,0.0,-7.7,-4.5,-0.1,22.215036720029588,0.24879631551634632,0.7192786333417487,6.0,0.0,0.0,2.0,73.93983201832528,Clyde Mayes,203.0,102.0,Furman University,Greenville,South Carolina,Clyde Mayes,F,6-8,"March 17, 1953",Furman University
jason hart,18414.0,Jason Hart,PG,28.0,LAC,23.0,22.0,746.0,12.0,0.491,0.119,0.186,1.9,11.3,20.2,2.9,0.1,13.9,15.1,0.3,0.9,-1.2,0.7,0.3,4.0,0.174,0.889,12.0,93.0,41.0,1.0,34.0,Jason Hart,190.0,83.0,Syracuse University,Los Angeles,California,Jason Hart,G,6-3,"April 29, 1978",Syracuse University
erwin mueller,2596.0,Erwin Mueller,C,23.0,LAL,39.0,23.593374650359237,973.0,12.2,0.543,0.15860433144009717,0.406,6.181565025009618,13.708657175836867,9.7,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.4,0.8,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.592,62.18920998220897,78.0,39.89705245948935,24.470260133673126,73.93983201832528,Erwin Mueller,203.0,104.0,University of San Francisco,Unknown,Unknown,Erwin Mueller,C-F,6-8,"March 12, 1944",University of San Francisco
jason hart,19564.0,Jason Hart,PG,30.0,LAC,28.0,2.0,312.0,6.1,0.352,0.048,0.226,4.3,11.4,20.8,2.0,0.9,17.1,16.3,-0.6,0.2,-6.4,-0.6,-0.4,0.0,0.0,0.789,12.0,43.0,12.0,4.0,19.0,Jason Hart,190.0,83.0,Syracuse University,Los Angeles,California,Jason Hart,G,6-3,"April 29, 1978",Syracuse University
alan henderson,12498.0,Alan Henderson,PF,23.0,ATL,79.0,4.0,1416.0,12.9,0.482,0.007,0.461,13.2,16.7,5.8,1.7,2.4,14.3,19.3,0.5,1.6,-2.9,-0.2,-0.4,0.0,0.0,0.595,164.0,51.0,44.0,43.0,87.0,Alan Henderson,206.0,106.0,Indiana University,Indianapolis,Indiana,Alan Henderson,F,6-9,"December 2, 1972",Indiana University
duje dukan,23651.0,Duje Dukan,SF,24.0,SAC,1.0,0.0,24.0,4.2,0.3,0.5,0.0,9.1,9.0,5.6,2.0,0.0,0.0,17.7,0.0,0.0,-3.9,-2.8,0.0,2.0,0.4,0.7192786333417487,2.0,1.0,1.0,0.0,0.0,Duje Dukan,206.0,99.0,University of Wisconsin,Split,Croatia,Duje Dukan,F,6-9,"December 4, 1991",University of Wisconsin
ray mccallum,23867.0,Ray McCallum,PG,24.0,SAS,31.0,3.0,256.0,10.3,0.476,0.239,0.149,2.8,10.8,17.7,1.0,1.2,13.3,14.7,0.1,0.4,-2.4,0.4,0.0,5.0,0.313,0.9,6.0,33.0,5.0,4.0,11.0,Ray McCallum,190.0,86.0,University of Detroit Mercy,Madison,Wisconsin,Ray McCallum,G,6-3,"June 12, 1991",University of Detroit Mercy
brandan wright,22856.0,Brandan Wright,C,26.0,DAL,58.0,0.0,1077.0,23.5,0.695,0.0,0.32,11.0,15.1,4.7,1.5,4.2,8.5,17.4,4.1,1.0,3.1,0.6,1.5,0.0,0.24879631551634632,0.726,102.0,31.0,32.0,55.0,35.0,Brandan Wright,211.0,102.0,"University of California, Los Angeles",Hollywood,California,Brandan Wright,F-C,6-10,"October 5, 1987",University of North Carolina
ray mccallum,23866.0,Ray McCallum,PG,24.0,TOT,41.0,6.0,475.0,9.1,0.449,0.288,0.103,1.9,9.3,18.5,1.3,1.2,13.6,16.8,-0.2,0.5,-2.9,-0.8,-0.2,15.0,0.357,0.8,8.0,60.0,12.0,7.0,24.0,Ray McCallum,190.0,86.0,University of Detroit Mercy,Madison,Wisconsin,Ray McCallum,G,6-3,"June 12, 1991",University of Detroit Mercy
ray mccallum,22628.0,Ray McCallum,PG,22.0,SAC,45.0,10.0,897.0,9.7,0.439,0.197,0.143,2.2,7.8,21.0,1.2,0.8,10.9,17.6,0.0,0.4,-2.3,-1.7,-0.5,22.0,0.373,0.744,18.0,120.0,22.0,9.0,39.0,Ray McCallum,190.0,86.0,University of Detroit Mercy,Madison,Wisconsin,Ray McCallum,G,6-3,"June 12, 1991",University of Detroit Mercy
brandan wright,21668.0,Brandan Wright,C,24.0,DAL,49.0,0.0,791.0,21.6,0.632,0.004,0.352,8.9,15.8,2.9,1.5,6.4,7.2,17.0,2.2,1.3,0.2,2.4,0.9,0.0,0.0,0.634,62.0,13.0,22.0,63.0,21.0,Brandan Wright,211.0,102.0,"University of California, Los Angeles",Hollywood,California,Brandan Wright,F-C,6-10,"October 5, 1987",University of North Carolina
brandan wright,21118.0,Brandan Wright,PF,23.0,TOT,37.0,2.0,379.0,15.9,0.54,0.0,0.265,9.2,18.2,5.1,1.5,3.4,9.7,17.2,0.4,0.4,-2.6,-0.2,-0.1,0.0,0.24879631551634632,0.677,31.0,12.0,11.0,17.0,14.0,Brandan Wright,211.0,102.0,"University of California, Los Angeles",Hollywood,California,Brandan Wright,F-C,6-10,"October 5, 1987",University of North Carolina
john barnhill,2354.0,John Barnhill,PG,28.0,BAL,53.0,23.593374650359237,1214.0,10.6,0.447,0.15860433144009717,0.23,6.181565025009618,13.708657175836867,14.3,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,-0.1,0.8,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.641,62.18920998220897,136.0,39.89705245948935,24.470260133673126,73.93983201832528,John Barnhill,185.0,81.0,Tennessee State University,Sturgis,Kentucky,John Barnhill,G,6-1,"March 20, 1938",Tennessee State University
