name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1,ss_Player_idx,ss_Pos_idx,ss_Tm_idx,ss__c0_equal_width,ss_Age_equal_width,ss_G_equal_width,ss_GS_quantile,ss_MP_quantile,ss_PER_quantile,player_cluster
mike riordan,4034.0,Mike Riordan,SF,28.0,CAP,81.0,23.593374650359237,3230.0,12.5,0.496,0.15860433144009717,0.142,3.5,7.8,11.6,1.4,0.2,15.085098559901962,18.906491853360468,3.5,3.5,-0.4,0.8,2.0,22.215036720029588,0.24879631551634632,0.782,120.0,264.0,102.0,14.0,73.93983201832528,Mike Riordan,193.0,90.0,Providence College,New York,New York,Mike Riordan,G-F,6-4,"July 9, 1945",Providence College,-3997.5265935461453,775.0,2.0,67.0,0.0,2.0,4.0,3.0,4.0,2.0,0
jim king,2416.0,Jim King,SG,25.0,SFW,67.0,23.593374650359237,1667.0,13.7,0.477,0.15860433144009717,0.323,6.181565025009618,13.708657175836867,18.0,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.0,2.5,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.787,62.18920998220897,240.0,39.89705245948935,24.470260133673126,73.93983201832528,Jim King,188.0,79.0,University of Tulsa,Tulsa,Oklahoma,Jim King,G,6-2,"February 7, 1941",University of Tulsa,-2396.982829971517,589.0,1.0,43.0,0.0,1.0,3.0,3.0,3.0,3.0,0
bruno caboclo,23596.0,Bruno Caboclo,SF,20.0,TOR,6.0,1.0,43.0,-7.7,0.125,0.583,0.0,2.7,2.6,3.2,2.4,1.9,25.0,16.9,-0.3,0.0,-11.4,-0.2,-0.1,1.0,0.143,0.7192786333417487,1.0,1.0,2.0,1.0,4.0,Bruno Caboclo,206.0,98.0,Unknown,Osasco,Brazil,Bruno Caboclo,F,6-9,"September 21, 1995",Unknown,-23594.08305412913,2226.0,2.0,26.0,4.0,0.0,0.0,1.0,0.0,0.0,1
caron butler,23593.0,Caron Butler,SF,35.0,SAC,17.0,1.0,176.0,11.3,0.49,0.305,0.203,3.1,10.4,8.3,2.5,0.5,4.5,16.2,0.1,0.1,-1.5,-1.1,0.0,3.0,0.167,0.833,5.0,10.0,9.0,1.0,3.0,Caron Butler,201.0,103.0,University of Connecticut,Racine,Wisconsin,Caron Butler,F,6-7,"March 13, 1980",University of Connecticut,-23589.598385355395,89.0,2.0,22.0,4.0,4.0,0.0,1.0,0.0,1.0,1
luc longley,11626.0,Luc Longley,C,25.0,TOT,76.0,46.0,1502.0,13.5,0.508,0.002,0.269,10.2,23.4,11.3,1.5,3.4,18.6,18.7,0.0,2.2,-2.9,1.8,0.3,0.0,0.0,0.72,129.0,109.0,45.0,79.0,119.0,Luc Longley,218.0,120.0,University of New Mexico,Melbourne,Australia,Luc Longley,C,7-2,"January 19, 1969",University of New Mexico,-11608.252030734227,616.0,3.0,0.0,2.0,1.0,4.0,4.0,3.0,3.0,3
bryce drew,14605.0,Bryce Drew,PG,25.0,HOU,72.0,5.0,1293.0,10.9,0.481,0.395,0.128,2.0,6.8,19.7,1.6,0.1,13.1,17.1,0.9,0.5,-0.9,-2.5,-0.4,59.0,0.362,0.849,23.0,162.0,41.0,1.0,66.0,Bryce Drew,188.0,83.0,Valparaiso University,Baton Rouge,Louisiana,Bryce Drew,G,6-2,"September 21, 1974",Valparaiso University,-14589.533008991732,1505.0,4.0,12.0,2.0,1.0,4.0,1.0,3.0,1.0,2
cazzie russell,4303.0,Cazzie Russell,SF,30.0,LAL,40.0,23.593374650359237,1055.0,16.5,0.499,0.15860433144009717,0.195,3.1,7.3,17.0,1.2,0.1,15.085098559901962,18.906491853360468,1.6,0.2,0.3,-3.2,-0.2,22.215036720029588,0.24879631551634632,0.894,34.0,109.0,27.0,2.0,73.93983201832528,Cazzie Russell,196.0,98.0,University of Michigan,Chicago,Illinois,Cazzie Russell,F-G,6-5,"June 7, 1944",University of Michigan,-4290.866704404447,548.0,2.0,7.0,0.0,3.0,2.0,3.0,2.0,4.0,0
arinze onuaku,22686.0,Arinze Onuaku,PF,26.0,TOT,5.0,0.0,30.0,3.8,0.255,0.0,0.4,7.6,23.5,13.5,0.0,0.0,14.5,10.4,0.0,0.0,-6.8,-1.6,0.0,0.0,0.24879631551634632,0.5,2.0,3.0,0.0,0.0,1.0,Arinze Onuaku,206.0,115.0,Syracuse University,Lanham,Maryland,Arinze Onuaku,C,6-9,"July 13, 1987",Syracuse University,-22684.294489631353,1692.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,1
clint richardson,8187.0,Clint Richardson,SG,29.0,IND,82.0,61.0,2224.0,12.2,0.496,0.012,0.2,3.4,8.8,23.2,1.2,0.2,14.5,17.3,1.2,1.9,-1.2,-0.7,0.1,1.0,0.111,0.837,69.0,372.0,58.0,8.0,136.0,Clint Richardson,190.0,88.0,Seattle University,Seattle,Washington,Clint Richardson,G,6-3,"August 7, 1956",Seattle University,-8161.1649064073235,1167.0,1.0,16.0,1.0,2.0,4.0,4.0,4.0,2.0,3
austin croshere,18324.0,Austin Croshere,PF,31.0,DAL,61.0,2.0,727.0,10.9,0.463,0.41,0.234,5.6,24.8,9.2,1.0,0.6,11.9,17.8,0.1,1.1,-2.4,0.0,-0.1,26.0,0.286,0.865,33.0,44.0,14.0,6.0,33.0,Austin Croshere,206.0,106.0,Providence College,Los Angeles,California,Austin Croshere,F,6-9,"May 1, 1975",Providence College,-18314.74338502506,309.0,0.0,17.0,3.0,3.0,3.0,1.0,2.0,1.0,2
