name_norm,ss__c0,ss_Player,ss_Pos,ss_Age,ss_Tm,ss_G,ss_GS,ss_MP,ss_PER,ss_TS%,ss_3PAr,ss_FTr,ss_ORB%,ss_DRB%,ss_AST%,ss_STL%,ss_BLK%,ss_TOV%,ss_USG%,ss_OWS,ss_DWS,ss_OBPM,ss_DBPM,ss_VORP,ss_3P,ss_3P%,ss_FT%,ss_ORB,ss_AST,ss_STL,ss_BLK,ss_TOV,pl_Player,pl_height,pl_weight,pl_collage,pl_birth_city,pl_birth_state,pd_name,pd_position,pd_height,pd_birth_date,pd_college,PC1
willie norwood,5254.0,Willie Norwood,SF,30.0,TOT,35.0,23.593374650359237,611.0,8.2,0.463,0.15860433144009717,0.414,8.5,11.7,7.0,2.3,0.3,20.7,17.2,-0.3,0.8,-2.8,0.2,-0.1,22.215036720029588,0.24879631551634632,0.667,49.0,33.0,31.0,3.0,56.0,Willie Norwood,201.0,99.0,Alcorn State University,Carrolton,Mississippi,Willie Norwood,F,6-7,"August 8, 1947",Alcorn State University,-5246.814827529427
johnny dawkins,11008.0,Johnny Dawkins,PG,29.0,PHI,74.0,10.0,1598.0,14.6,0.502,0.142,0.241,2.2,7.0,32.8,2.4,0.1,15.6,20.5,0.8,0.9,-0.6,-2.4,-0.4,26.0,0.31,0.796,33.0,339.0,80.0,4.0,121.0,Johnny Dawkins,188.0,74.0,Duke University,Washington,District of Columbia,Johnny Dawkins,G,6-2,"September 28, 1963",Duke University,-10989.002304009522
jim barnett,3860.0,Jim Barnett,SG,29.0,GSW,77.0,23.593374650359237,1689.0,16.4,0.517,0.15860433144009717,0.299,4.3,8.0,16.8,1.5,0.3,15.085098559901962,18.906491853360468,3.2,1.0,1.2,-1.9,0.6,22.215036720029588,0.24879631551634632,0.814,76.0,209.0,56.0,11.0,73.93983201832528,Jim Barnett,203.0,95.0,University of Texas at El Paso,Tuckerman,Arkansas,Jim Barnett,G-F,6-4,"July 7, 1944",University of Oregon,-3840.678059668567
stu lantz,3201.0,Stu Lantz,SG,24.0,SDR,82.0,23.593374650359237,3102.0,16.8,0.532,0.15860433144009717,0.493,6.181565025009618,13.708657175836867,15.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,6.3,4.2,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.806,62.18920998220897,344.0,39.89705245948935,24.470260133673126,73.93983201832528,Stu Lantz,190.0,79.0,University of Nebraska,Uniontown,Pennsylvania,Stu Lantz,G,6-3,"July 13, 1946",University of Nebraska,-3165.966641801371
stu lantz,2965.0,Stu Lantz,PG,23.0,SDR,82.0,23.593374650359237,2471.0,12.9,0.501,0.15860433144009717,0.352,6.181565025009618,13.708657175836867,14.6,1.6482685648326287,1.4106242785686793,15.085098559901962,18.906491853360468,1.9,2.7,-1.7783863057171725,-0.5485695052170987,0.5598788286772164,22.215036720029588,0.24879631551634632,0.77,62.18920998220897,287.0,39.89705245948935,24.470260133673126,73.93983201832528,Stu Lantz,190.0,79.0,University of Nebraska,Uniontown,Pennsylvania,Stu Lantz,G,6-3,"July 13, 1946",University of Nebraska,-2937.0168526619877
jim barnett,4115.0,Jim Barnett,SG,30.0,NYK,28.0,23.593374650359237,538.0,9.8,0.472,0.15860433144009717,0.291,2.9,7.1,10.1,1.0,0.0,15.085098559901962,18.906491853360468,0.2,0.2,-2.9,-1.9,-0.4,22.215036720029588,0.24879631551634632,0.86,15.0,39.0,12.0,0.0,73.93983201832528,Jim Barnett,203.0,95.0,University of Texas at El Paso,Tuckerman,Arkansas,Jim Barnett,G-F,6-4,"July 7, 1944",University of Oregon,-4108.714752695671
willie norwood,4558.0,Willie Norwood,SF,28.0,SEA,64.0,23.593374650359237,1004.0,15.4,0.569,0.15860433144009717,0.674,9.1,14.6,7.8,1.9,0.2,15.085098559901962,18.906491853360468,2.0,0.9,0.8,-0.9,0.5,22.215036720029588,0.24879631551634632,0.749,91.0,59.0,42.0,4.0,73.93983201832528,Willie Norwood,201.0,99.0,Alcorn State University,Carrolton,Mississippi,Willie Norwood,F,6-7,"August 8, 1947",Alcorn State University,-4546.40187794385
derrick phelps,12154.0,Derrick Phelps,PG,22.0,SAC,3.0,0.0,5.0,-17.3,0.0,0.0,2.0,0.0,0.0,26.3,0.0,0.0,0.0,16.7,0.0,0.0,-15.9,-8.5,0.0,0.0,0.24879631551634632,0.0,0.0,1.0,0.0,0.0,0.0,Derrick Phelps,193.0,82.0,University of North Carolina,Queens,New York,Derrick Phelps,G,6-4,"July 31, 1972",University of North Carolina,-12153.234485086954
mark west,9510.0,Mark West,C,28.0,PHO,82.0,32.0,2019.0,12.9,0.644,0.0,0.543,9.2,19.4,2.3,0.8,5.1,18.3,11.1,2.2,3.3,-1.0,3.0,2.1,0.0,0.24879631551634632,0.535,167.0,39.0,35.0,187.0,103.0,Mark West,208.0,104.0,Old Dominion University,Petersburg,Virginia,Mark West,C-F,6-10,"November 5, 1960",Old Dominion University,-9486.740678069616
willie norwood,5255.0,Willie Norwood,SF,30.0,DET,16.0,23.593374650359237,260.0,10.4,0.464,0.15860433144009717,0.354,11.1,10.7,7.1,2.2,0.6,15.2,16.4,0.1,0.2,-1.2,-0.4,0.0,22.215036720029588,0.24879631551634632,0.69,27.0,14.0,13.0,3.0,17.0,Willie Norwood,201.0,99.0,Alcorn State University,Carrolton,Mississippi,Willie Norwood,F,6-7,"August 8, 1947",Alcorn State University,-5251.802310519903
